date,fips,county,cases,deaths
2020-03-14,39011,Auglaize,2,0
2020-03-15,39011,Auglaize,2,0
2020-03-16,39011,Auglaize,2,0
2020-03-17,39011,Auglaize,2,0
2020-03-18,39011,Auglaize,2,0
2020-03-19,39011,Auglaize,2,0
2020-03-20,39011,Auglaize,2,0
2020-03-21,39011,Auglaize,3,0
2020-03-22,39011,Auglaize,3,0
2020-03-23,39011,Auglaize,5,1
2020-03-24,39011,Auglaize,5,1
2020-03-25,39011,Auglaize,6,1
2020-03-26,39011,Auglaize,6,1
2020-03-27,39011,Auglaize,6,1
2020-03-28,39011,Auglaize,7,1
2020-03-29,39011,Auglaize,7,1
2020-03-30,39011,Auglaize,7,1
2020-03-31,39011,Auglaize,9,1
2020-04-01,39011,Auglaize,10,1
2020-04-02,39011,Auglaize,10,1
2020-04-03,39011,Auglaize,10,1
2020-04-04,39011,Auglaize,12,1
2020-04-05,39011,Auglaize,13,1
2020-04-06,39011,Auglaize,13,1
2020-04-07,39011,Auglaize,13,1
2020-04-08,39011,Auglaize,13,1
2020-04-09,39011,Auglaize,14,1
2020-04-10,39011,Auglaize,15,1
2020-04-11,39011,Auglaize,15,1
2020-04-12,39011,Auglaize,15,1
2020-04-13,39011,Auglaize,18,1
2020-04-14,39011,Auglaize,18,1
2020-04-15,39011,Auglaize,18,1
2020-01-21,39013,Belmont,0,0
2020-01-22,39013,Belmont,0,0
2020-01-23,39013,Belmont,0,0
2020-01-24,39013,Belmont,0,0
2020-01-25,39013,Belmont,0,0
2020-01-26,39013,Belmont,0,0
2020-01-27,39013,Belmont,0,0
2020-01-28,39013,Belmont,0,0
2020-01-29,39013,Belmont,0,0
2020-01-30,39013,Belmont,0,0
2020-01-31,39013,Belmont,0,0
2020-02-01,39013,Belmont,0,0
2020-02-02,39013,Belmont,0,0
2020-02-03,39013,Belmont,0,0
2020-02-04,39013,Belmont,0,0
2020-02-05,39013,Belmont,0,0
2020-02-06,39013,Belmont,0,0
2020-02-07,39013,Belmont,0,0
2020-02-08,39013,Belmont,0,0
2020-02-09,39013,Belmont,0,0
2020-02-10,39013,Belmont,0,0
2020-02-11,39013,Belmont,0,0
2020-02-12,39013,Belmont,0,0
2020-02-13,39013,Belmont,0,0
2020-02-14,39013,Belmont,0,0
2020-02-15,39013,Belmont,0,0
2020-02-16,39013,Belmont,0,0
2020-02-17,39013,Belmont,0,0
2020-02-18,39013,Belmont,0,0
2020-02-19,39013,Belmont,0,0
2020-02-20,39013,Belmont,0,0
2020-02-21,39013,Belmont,0,0
2020-02-22,39013,Belmont,0,0
2020-02-23,39013,Belmont,0,0
2020-02-24,39013,Belmont,0,0
2020-02-25,39013,Belmont,0,0
2020-02-26,39013,Belmont,0,0
2020-02-27,39013,Belmont,0,0
2020-02-28,39013,Belmont,0,0
2020-02-29,39013,Belmont,0,0
2020-03-01,39013,Belmont,0,0
2020-03-02,39013,Belmont,0,0
2020-03-03,39013,Belmont,0,0
2020-03-04,39013,Belmont,0,0
2020-03-05,39013,Belmont,0,0
2020-03-06,39013,Belmont,2,0
2020-03-07,39013,Belmont,2,0
2020-03-08,39013,Belmont,2,0
2020-03-09,39013,Belmont,2,0
2020-03-10,39013,Belmont,2,0
2020-03-11,39013,Belmont,2,0
2020-03-12,39013,Belmont,3,0
2020-03-13,39013,Belmont,3,0
2020-03-14,39013,Belmont,3,0
2020-03-15,39013,Belmont,3,0
2020-03-16,39013,Belmont,4,0
2020-03-17,39013,Belmont,6,0
2020-03-18,39013,Belmont,6,0
2020-03-19,39013,Belmont,8,0
2020-03-20,39013,Belmont,8,0
2020-03-21,39013,Belmont,8,0
2020-03-22,39013,Belmont,9,0
2020-03-23,39013,Belmont,10,0
2020-03-24,39013,Belmont,10,0
2020-03-25,39013,Belmont,10,0
2020-03-26,39013,Belmont,10,0
2020-03-27,39013,Belmont,10,0
2020-03-28,39013,Belmont,11,0
2020-03-29,39013,Belmont,15,0
2020-03-30,39013,Belmont,17,0
2020-03-31,39013,Belmont,20,1
2020-04-01,39013,Belmont,24,1
2020-04-02,39013,Belmont,25,1
2020-04-03,39013,Belmont,29,1
2020-04-04,39013,Belmont,33,1
2020-04-05,39013,Belmont,34,2
2020-04-06,39013,Belmont,38,2
2020-04-07,39013,Belmont,41,2
2020-04-08,39013,Belmont,42,2
2020-04-09,39013,Belmont,49,2
2020-04-10,39013,Belmont,54,3
2020-04-11,39013,Belmont,58,3
2020-04-12,39013,Belmont,58,3
2020-04-13,39013,Belmont,58,3
2020-04-14,39013,Belmont,58,3
2020-04-15,39013,Belmont,58,3
2020-01-21,39015,Brown,0,0
2020-01-22,39015,Brown,0,0
2020-01-23,39015,Brown,0,0
2020-01-24,39015,Brown,0,0
2020-01-25,39015,Brown,0,0
2020-01-26,39015,Brown,0,0
2020-01-27,39015,Brown,0,0
2020-01-28,39015,Brown,0,0
2020-01-29,39015,Brown,0,0
2020-01-30,39015,Brown,0,0
2020-01-31,39015,Brown,0,0
2020-02-01,39015,Brown,0,0
2020-02-02,39015,Brown,0,0
2020-02-03,39015,Brown,0,0
2020-02-04,39015,Brown,0,0
2020-02-05,39015,Brown,0,0
2020-02-06,39015,Brown,0,0
2020-02-07,39015,Brown,0,0
2020-02-08,39015,Brown,0,0
2020-02-09,39015,Brown,0,0
2020-02-10,39015,Brown,0,0
2020-02-11,39015,Brown,0,0
2020-02-12,39015,Brown,0,0
2020-02-13,39015,Brown,0,0
2020-02-14,39015,Brown,0,0
2020-02-15,39015,Brown,0,0
2020-02-16,39015,Brown,0,0
2020-02-17,39015,Brown,0,0
2020-02-18,39015,Brown,0,0
2020-02-19,39015,Brown,0,0
2020-02-20,39015,Brown,0,0
2020-02-21,39015,Brown,0,0
2020-02-22,39015,Brown,0,0
2020-02-23,39015,Brown,0,0
2020-02-24,39015,Brown,0,0
2020-02-25,39015,Brown,0,0
2020-02-26,39015,Brown,0,0
2020-02-27,39015,Brown,0,0
2020-02-28,39015,Brown,0,0
2020-02-29,39015,Brown,0,0
2020-03-01,39015,Brown,0,0
2020-03-02,39015,Brown,0,0
2020-03-03,39015,Brown,0,0
2020-03-04,39015,Brown,0,0
2020-03-05,39015,Brown,0,0
2020-03-06,39015,Brown,0,0
2020-03-07,39015,Brown,0,0
2020-03-08,39015,Brown,0,0
2020-03-09,39015,Brown,0,0
2020-03-10,39015,Brown,0,0
2020-03-11,39015,Brown,0,0
2020-03-12,39015,Brown,0,0
2020-03-13,39015,Brown,0,0
2020-03-14,39015,Brown,0,0
2020-03-15,39015,Brown,0,0
2020-03-16,39015,Brown,0,0
2020-03-17,39015,Brown,0,0
2020-03-18,39015,Brown,0,0
2020-03-19,39015,Brown,0,0
2020-03-20,39015,Brown,0,0
2020-03-21,39015,Brown,0,0
2020-03-22,39015,Brown,0,0
2020-03-23,39015,Brown,0,0
2020-03-24,39015,Brown,1,0
2020-03-25,39015,Brown,1,0
2020-03-26,39015,Brown,1,0
2020-03-27,39015,Brown,2,0
2020-03-28,39015,Brown,3,1
2020-03-29,39015,Brown,3,1
2020-03-30,39015,Brown,3,1
2020-03-31,39015,Brown,3,1
2020-04-01,39015,Brown,4,1
2020-04-02,39015,Brown,5,1
2020-04-03,39015,Brown,5,1
2020-04-04,39015,Brown,5,1
2020-04-05,39015,Brown,5,1
2020-04-06,39015,Brown,5,1
2020-04-07,39015,Brown,6,1
2020-04-08,39015,Brown,8,1
2020-04-09,39015,Brown,8,1
2020-04-10,39015,Brown,8,1
2020-04-11,39015,Brown,8,1
2020-04-12,39015,Brown,8,1
2020-04-13,39015,Brown,8,1
2020-04-14,39015,Brown,8,1
2020-04-15,39015,Brown,8,1
2020-01-21,39017,Butler,0,0
2020-01-22,39017,Butler,0,0
2020-01-23,39017,Butler,0,0
2020-01-24,39017,Butler,0,0
2020-01-25,39017,Butler,0,0
2020-01-26,39017,Butler,0,0
2020-01-27,39017,Butler,0,0
2020-01-28,39017,Butler,0,0
2020-01-29,39017,Butler,0,0
2020-01-30,39017,Butler,0,0
2020-01-31,39017,Butler,0,0
2020-02-01,39017,Butler,0,0
2020-02-02,39017,Butler,0,0
2020-02-03,39017,Butler,0,0
2020-02-04,39017,Butler,0,0
2020-02-05,39017,Butler,0,0
2020-02-06,39017,Butler,0,0
2020-02-07,39017,Butler,0,0
2020-02-08,39017,Butler,0,0
2020-02-09,39017,Butler,0,0
2020-02-10,39017,Butler,0,0
2020-02-11,39017,Butler,0,0
2020-02-12,39017,Butler,0,0
2020-02-13,39017,Butler,0,0
2020-02-14,39017,Butler,0,0
2020-02-15,39017,Butler,0,0
2020-02-16,39017,Butler,0,0
2020-02-17,39017,Butler,0,0
2020-02-18,39017,Butler,0,0
2020-02-19,39017,Butler,0,0
2020-02-20,39017,Butler,0,0
2020-02-21,39017,Butler,0,0
2020-02-22,39017,Butler,0,0
2020-02-23,39017,Butler,0,0
2020-02-24,39017,Butler,0,0
2020-02-25,39017,Butler,0,0
2020-02-26,39017,Butler,0,0
2020-02-27,39017,Butler,0,0
2020-02-28,39017,Butler,0,0
2020-02-29,39017,Butler,1,0
2020-03-01,39017,Butler,2,0
2020-03-02,39017,Butler,3,0
2020-03-03,39017,Butler,6,0
2020-03-04,39017,Butler,6,0
2020-03-05,39017,Butler,6,0
2020-03-06,39017,Butler,7,0
2020-03-07,39017,Butler,8,0
2020-03-08,39017,Butler,10,0
2020-03-09,39017,Butler,12,0
2020-03-10,39017,Butler,14,0
2020-03-11,39017,Butler,16,0
2020-03-12,39017,Butler,19,0
2020-03-13,39017,Butler,22,0
