date,fips,county,cases,deaths
2020-01-29,39091,Logan,0.0,0.0
2020-01-30,39091,Logan,0.0,0.0
2020-01-31,39091,Logan,0.0,0.0
2020-02-01,39091,Logan,0.0,0.0
2020-02-02,39091,Logan,0.0,0.0
2020-02-03,39091,Logan,0.0,0.0
2020-02-04,39091,Logan,0.0,0.0
2020-02-05,39091,Logan,0.0,0.0
2020-02-06,39091,Logan,0.0,0.0
2020-02-07,39091,Logan,0.0,0.0
2020-02-08,39091,Logan,0.0,0.0
2020-02-09,39091,Logan,0.0,0.0
2020-02-10,39091,Logan,0.0,0.0
2020-02-11,39091,Logan,0.0,0.0
2020-02-12,39091,Logan,0.0,0.0
2020-02-13,39091,Logan,0.0,0.0
2020-02-14,39091,Logan,0.0,0.0
2020-02-15,39091,Logan,0.0,0.0
2020-02-16,39091,Logan,0.0,0.0
2020-02-17,39091,Logan,0.0,0.0
2020-02-18,39091,Logan,0.0,0.0
2020-02-19,39091,Logan,0.0,0.0
2020-02-20,39091,Logan,0.0,0.0
2020-02-21,39091,Logan,0.0,0.0
2020-02-22,39091,Logan,0.0,0.0
2020-02-23,39091,Logan,0.0,0.0
2020-02-24,39091,Logan,0.0,0.0
2020-02-25,39091,Logan,0.0,0.0
2020-02-26,39091,Logan,0.0,0.0
2020-02-27,39091,Logan,0.0,0.0
2020-02-28,39091,Logan,0.0,0.0
2020-02-29,39091,Logan,0.0,0.0
2020-03-01,39091,Logan,0.0,0.0
2020-03-02,39091,Logan,0.0,0.0
2020-03-03,39091,Logan,0.0,0.0
2020-03-04,39091,Logan,0.0,0.0
2020-03-05,39091,Logan,0.0,0.0
2020-03-06,39091,Logan,0.0,0.0
2020-03-07,39091,Logan,0.0,0.0
2020-03-08,39091,Logan,0.0,0.0
2020-03-09,39091,Logan,1.0,0.0
2020-03-10,39091,Logan,1.0,0.0
2020-03-11,39091,Logan,1.0,0.0
2020-03-12,39091,Logan,1.0,0.0
2020-03-13,39091,Logan,2.0,0.0
2020-03-14,39091,Logan,2.0,0.0
2020-03-15,39091,Logan,3.0,0.0
2020-03-16,39091,Logan,3.0,0.0
2020-03-17,39091,Logan,3.0,0.0
2020-03-18,39091,Logan,3.0,0.0
2020-03-19,39091,Logan,3.0,0.0
2020-03-20,39091,Logan,3.0,0.0
2020-03-21,39091,Logan,3.0,0.0
2020-03-22,39091,Logan,3.0,0.0
2020-03-23,39091,Logan,4.0,0.0
2020-03-24,39091,Logan,4.0,0.0
2020-03-25,39091,Logan,4.0,0.0
2020-03-26,39091,Logan,4.0,0.0
2020-03-27,39091,Logan,5.0,0.0
2020-03-28,39091,Logan,6.0,0.0
2020-03-29,39091,Logan,7.0,0.0
2020-03-30,39091,Logan,7.0,0.0
2020-03-31,39091,Logan,7.0,0.0
2020-04-01,39091,Logan,7.0,0.0
2020-04-02,39091,Logan,7.0,0.0
2020-04-03,39091,Logan,7.0,0.0
2020-04-04,39091,Logan,7.0,0.0
2020-04-05,39091,Logan,7.0,0.0
2020-04-06,39091,Logan,7.0,0.0
2020-04-07,39091,Logan,7.0,0.0
2020-04-08,39091,Logan,7.0,0.0
2020-04-09,39091,Logan,7.0,0.0
2020-04-10,39091,Logan,8.0,0.0
2020-04-11,39091,Logan,8.0,0.0
2020-04-12,39091,Logan,8.0,0.0
2020-04-13,39091,Logan,8.0,0.0
2020-01-21,39093,Lorain,0.0,0.0
2020-01-22,39093,Lorain,0.0,0.0
2020-01-23,39093,Lorain,0.0,0.0
2020-01-24,39093,Lorain,0.0,0.0
2020-01-25,39093,Lorain,0.0,0.0
2020-01-26,39093,Lorain,0.0,0.0
2020-01-27,39093,Lorain,0.0,0.0
2020-01-28,39093,Lorain,0.0,0.0
2020-01-29,39093,Lorain,0.0,0.0
2020-01-30,39093,Lorain,0.0,0.0
2020-01-31,39093,Lorain,0.0,0.0
2020-02-01,39093,Lorain,0.0,0.0
2020-02-02,39093,Lorain,0.0,0.0
2020-02-03,39093,Lorain,0.0,0.0
2020-02-04,39093,Lorain,0.0,0.0
2020-02-05,39093,Lorain,0.0,0.0
2020-02-06,39093,Lorain,0.0,0.0
2020-02-07,39093,Lorain,0.0,0.0
2020-02-08,39093,Lorain,0.0,0.0
2020-02-09,39093,Lorain,0.0,0.0
2020-02-10,39093,Lorain,0.0,0.0
2020-02-11,39093,Lorain,0.0,0.0
2020-02-12,39093,Lorain,0.0,0.0
2020-02-13,39093,Lorain,0.0,0.0
2020-02-14,39093,Lorain,0.0,0.0
2020-02-15,39093,Lorain,0.0,0.0
2020-02-16,39093,Lorain,0.0,0.0
2020-02-17,39093,Lorain,0.0,0.0
2020-02-18,39093,Lorain,0.0,0.0
2020-02-19,39093,Lorain,0.0,0.0
2020-02-20,39093,Lorain,0.0,0.0
2020-02-21,39093,Lorain,0.0,0.0
2020-02-22,39093,Lorain,0.0,0.0
2020-02-23,39093,Lorain,0.0,0.0
2020-02-24,39093,Lorain,0.0,0.0
2020-02-25,39093,Lorain,0.0,0.0
2020-02-26,39093,Lorain,1.0,0.0
2020-02-27,39093,Lorain,1.0,0.0
2020-02-28,39093,Lorain,1.0,0.0
2020-02-29,39093,Lorain,1.0,0.0
2020-03-01,39093,Lorain,1.0,0.0
2020-03-02,39093,Lorain,1.0,0.0
2020-03-03,39093,Lorain,1.0,0.0
2020-03-04,39093,Lorain,1.0,0.0
2020-03-05,39093,Lorain,1.0,0.0
2020-03-06,39093,Lorain,2.0,0.0
2020-03-07,39093,Lorain,2.0,0.0
2020-03-08,39093,Lorain,2.0,0.0
2020-03-09,39093,Lorain,3.0,0.0
2020-03-10,39093,Lorain,5.0,0.0
2020-03-11,39093,Lorain,11.0,0.0
2020-03-12,39093,Lorain,17.0,0.0
2020-03-13,39093,Lorain,21.0,0.0
2020-03-14,39093,Lorain,29.0,0.0
2020-03-15,39093,Lorain,35.0,0.0
2020-03-16,39093,Lorain,41.0,1.0
2020-03-17,39093,Lorain,47.0,1.0
2020-03-18,39093,Lorain,54.0,2.0
2020-03-19,39093,Lorain,60.0,2.0
2020-03-20,39093,Lorain,70.0,2.0
2020-03-21,39093,Lorain,75.0,2.0
2020-03-22,39093,Lorain,80.0,3.0
2020-03-23,39093,Lorain,86.0,3.0
2020-03-24,39093,Lorain,92.0,3.0
2020-03-25,39093,Lorain,93.0,4.0
2020-03-26,39093,Lorain,97.0,5.0
2020-03-27,39093,Lorain,101.0,5.0
2020-03-28,39093,Lorain,103.0,5.0
2020-03-29,39093,Lorain,106.0,5.0
2020-03-30,39093,Lorain,113.0,5.0
2020-03-31,39093,Lorain,121.0,5.0
2020-04-01,39093,Lorain,124.0,5.0
2020-04-02,39093,Lorain,132.0,5.0
2020-04-03,39093,Lorain,140.0,5.0
2020-04-04,39093,Lorain,147.0,6.0
2020-04-05,39093,Lorain,151.0,6.0
2020-04-06,39093,Lorain,155.0,6.0
2020-04-07,39093,Lorain,161.0,6.0
2020-04-08,39093,Lorain,169.0,7.0
2020-04-09,39093,Lorain,174.0,7.0
2020-04-10,39093,Lorain,184.0,7.0
2020-04-11,39093,Lorain,187.0,7.0
2020-04-12,39093,Lorain,188.0,7.0
2020-04-13,39093,Lorain,191.0,7.0
2020-01-21,39095,Lucas,0.0,0.0
2020-01-22,39095,Lucas,0.0,0.0
2020-01-23,39095,Lucas,0.0,0.0
2020-01-24,39095,Lucas,0.0,0.0
2020-01-25,39095,Lucas,0.0,0.0
2020-01-26,39095,Lucas,0.0,0.0
2020-01-27,39095,Lucas,0.0,0.0
2020-01-28,39095,Lucas,0.0,0.0
2020-01-29,39095,Lucas,0.0,0.0
2020-01-30,39095,Lucas,0.0,0.0
2020-01-31,39095,Lucas,0.0,0.0
2020-02-01,39095,Lucas,0.0,0.0
2020-02-02,39095,Lucas,0.0,0.0
2020-02-03,39095,Lucas,0.0,0.0
2020-02-04,39095,Lucas,0.0,0.0
2020-02-05,39095,Lucas,0.0,0.0
2020-02-06,39095,Lucas,0.0,0.0
2020-02-07,39095,Lucas,0.0,0.0
2020-02-08,39095,Lucas,0.0,0.0
2020-02-09,39095,Lucas,0.0,0.0
2020-02-10,39095,Lucas,0.0,0.0
2020-02-11,39095,Lucas,0.0,0.0
2020-02-12,39095,Lucas,0.0,0.0
2020-02-13,39095,Lucas,0.0,0.0
2020-02-14,39095,Lucas,0.0,0.0
2020-02-15,39095,Lucas,0.0,0.0
2020-02-16,39095,Lucas,0.0,0.0
2020-02-17,39095,Lucas,0.0,0.0
2020-02-18,39095,Lucas,0.0,0.0
2020-02-19,39095,Lucas,0.0,0.0
2020-02-20,39095,Lucas,0.0,0.0
2020-02-21,39095,Lucas,0.0,0.0
2020-02-22,39095,Lucas,0.0,0.0
2020-02-23,39095,Lucas,0.0,0.0
2020-02-24,39095,Lucas,0.0,0.0
2020-02-25,39095,Lucas,0.0,0.0
2020-02-26,39095,Lucas,0.0,0.0
2020-02-27,39095,Lucas,0.0,0.0
2020-02-28,39095,Lucas,0.0,0.0
2020-02-29,39095,Lucas,0.0,0.0
2020-03-01,39095,Lucas,0.0,0.0
2020-03-02,39095,Lucas,0.0,0.0
2020-03-03,39095,Lucas,2.0,1.0
2020-03-04,39095,Lucas,3.0,1.0
2020-03-05,39095,Lucas,4.0,2.0
2020-03-06,39095,Lucas,5.0,2.0
2020-03-07,39095,Lucas,5.0,2.0
2020-03-08,39095,Lucas,6.0,2.0
2020-03-09,39095,Lucas,8.0,2.0
2020-03-10,39095,Lucas,8.0,2.0
2020-03-11,39095,Lucas,8.0,2.0
