date,fips,county,cases,deaths,local_pub_health_url
2020-01-22,06059,Orange County,0.0,0.0,0
2020-01-22,06025,Imperial County,0.0,0.0,0
2020-01-22,06101,Sutter County,0.0,0.0,0
2020-01-22,06005,Amador County,0.0,0.0,0
2020-01-22,06033,Lake County,0.0,0.0,0
2020-01-22,06063,Plumas County,0.0,0.0,0
2020-01-22,06081,San Mateo County,0.0,0.0,0
2020-01-22,06093,Siskiyou County,0.0,0.0,0
2020-01-22,06087,Santa Cruz County,0.0,0.0,0
2020-01-22,06021,Glenn County,0.0,0.0,0
2020-01-22,06079,San Luis Obispo County,0.0,0.0,0
2020-01-23,06091,Sierra County,0.0,0.0,0
2020-01-23,06067,Sacramento County,0.0,0.0,0
2020-01-23,06083,Santa Barbara County,0.0,0.0,0
2020-01-23,06009,Calaveras County,0.0,0.0,0
